Key,X,Y,Z
Q,153.7,-84.5,-37
W,151.5,-70,-37
E,150.1,-55.2,-37
R,147.4,-41,-37
T,145.3,-27.5,-37
Y,145.7,-14.5,-37
U,144.9,-1,-37
I,145.7,12.2,-37
O,145.7,25.5,-37
P,146,39.5,-37
A,170.1,-83,-37
S,169.4,-69,-37
D,168,-54,-37
F,166.6,-40,-37
G,165,-24.7,-37
H,165.8,-11.7,-37
J,164.5,2.5,-37
K,163.1,16.4,-37
L,165.1,31.4,-37
Z,189.2,-77.5,-37
X,187.9,-62,-37
C,184.9,-47.1,-37
V,185.2,-32.6,-37
B,183.3,-18.3,-37
N,182.9,-4.3,-37
M,183.6,9.5,-37
SPACE,202.3,-17.4,-37
LEFT,205.9,81.7,-37
UP,190.6,95.6,-37
DOWN,207,96.9,-37
RIGHT,207.8,112.5,-37
